H_avg_gs_5,H_avg_gc_5,H_avg_gd_5,H_avg_pts_5,H_avg_gs_10,H_avg_gc_10,H_avg_gd_10,H_avg_pts_10,H_ewma_gs_0.1,H_ewma_gc_0.1,H_ewma_gd_0.1,H_ewma_gs_0.2,H_ewma_gc_0.2,H_ewma_gd_0.2,H_h2h_avg_gs,H_h2h_avg_gc,H_h2h_win_rate,A_avg_gs_5,A_avg_gc_5,A_avg_gd_5,A_avg_pts_5,A_avg_gs_10,A_avg_gc_10,A_avg_gd_10,A_avg_pts_10,A_ewma_gs_0.1,A_ewma_gc_0.1,A_ewma_gd_0.1,A_ewma_gs_0.2,A_ewma_gc_0.2,A_ewma_gd_0.2,A_h2h_avg_gs,A_h2h_avg_gc,A_h2h_win_rate,diff_avg_gd_5,diff_avg_gd_10,diff_ewma_gd_0.1,diff_ewma_gd_0.2,target
1.8,2.0,-0.2,1.8,1.6,1.5,0.1,1.5,1.3563551546482182,1.53250551564218,-0.1761503609939618,1.5040576224815332,2.0510000662674712,-0.5469424437859381,0.0,0.0,0.0,1.4,2.6,-1.2,1.0,1.0,2.1,-1.1,0.8,0.8727125102300752,2.15221195631525,-1.2794994460851747,0.9964301320394242,2.4889777942163476,-1.4925476621769234,0.0,0.0,0.0,1.0,1.2000000000000002,1.1033490850912129,0.9456052183909852,
1.6,0.4,1.2,1.6,2.0,1.2,0.8,1.4,1.7944578985650987,1.0573808630000316,0.7370770355650667,1.664256207523832,0.8526064992770589,0.8116497082467726,3.0,3.0,0.0,1.2,0.8,0.4,2.0,1.5,1.2,0.3,1.8,1.2587549096692259,1.2968244695544906,-0.038069559885264836,1.250653505364882,1.0078957494285583,0.24275775593632312,3.0,3.0,0.0,0.7999999999999999,0.5,0.7751465954503315,0.5688919523104495,
1.4,1.0,0.4,1.4,1.7,0.7,1.0,1.6,1.9592523940419404,0.6845916941337074,1.274660699908233,1.6341843089221018,0.6692389503480748,0.964945358574027,2.0,2.0,0.0,1.8,0.8,1.0,1.6,1.8,0.7,1.1,1.7,1.7558596787911411,0.9034156464684018,0.8524440323227391,2.0542376018460797,0.8527214474096744,1.2015161544364052,2.0,2.0,0.0,-0.6,-0.10000000000000009,0.4222166675854939,-0.23657079586237828,
1.6,1.0,0.6,1.6,1.6,1.0,0.6,1.4,1.4387963063512856,0.9342041261972589,0.5045921801540264,1.697579319066379,0.9890182387855028,0.7085610802808763,1.0,0.0,1.0,1.8,1.0,0.8,1.6,1.6,1.0,0.6,1.4,1.6543607457189557,0.9933900128749091,0.6609707328440465,1.7845944511583718,0.9927549700093325,0.7918394811490395,1.0,0.0,1.0,-0.20000000000000007,0.0,-0.1563785526900201,-0.08327840086816318,
0.8,1.8,-1.0,0.6,1.1,1.5,-0.4,1.2,1.032462105574998,1.6217131082369551,-0.5892510026619574,0.7773987924214677,1.7326186502860526,-0.9552198578645845,2.0,0.0,1.0,1.0,2.0,-1.0,1.4,1.2,1.6,-0.4,1.6,1.0931561061100104,1.4063521184795587,-0.3131960123695484,1.111718629987119,1.4896330336784067,-0.3779144036912881,2.0,0.0,1.0,0.0,0.0,-0.276054990292409,-0.5773054541732965,
1.8,1.8,0.0,1.0,1.5,1.2,0.3,1.2,1.744555934821141,1.1288220730796312,0.6157338617415106,1.7667467094949858,1.3068257903839193,0.45992091911106653,2.0,2.0,0.0,2.0,0.8,1.2,2.0,1.6,1.3,0.3,1.4,1.8100359538230217,1.1317423621671603,0.6782935916558614,1.7674348356777492,0.9760594733845783,0.7913753622931708,2.0,2.0,0.0,-1.2,0.0,-0.06255972991435088,-0.3314544431821043,
1.0,1.2,-0.2,0.8,1.0,1.0,0.0,1.0,1.0412416572411767,1.00776003226663,0.03348162497454657,0.8941110666894058,1.0666213056509568,-0.17251023896155143,3.0,1.0,1.0,1.4,0.6,0.8,1.6,1.9,1.2,0.7,1.4,1.817537449883452,1.0509377812028942,0.7665996686805575,1.7320300695630275,0.8823596235561317,0.8496704460068955,3.0,1.0,1.0,-1.0,-0.7,-0.733118043706011,-1.022180684968447,
1.4,2.6,-1.2,0.6,1.1,2.1,-1.0,0.8,0.9992913925566368,2.0228343991639224,-1.0235430066072855,1.1990125990933214,2.1884099866617,-0.9893973875683787,6.0,0.0,1.0,1.4,0.6,0.8,1.8,1.8,0.7,1.1,1.8,2.0746956728167576,0.7195778605909401,1.3551178122258174,1.9093780183087818,0.7358829058751267,1.173495112433655,6.0,0.0,1.0,-2.0,-2.1,-2.3786608188331027,-2.162892500002034,
0.4,2.0,-1.6,0.4,0.7,1.4,-0.7,1.0,0.7711946485673578,1.5591807253134986,-0.7879860767461411,0.5945321405831518,1.556720774192409,-0.9621886336092574,3.0,2.0,1.0,1.0,1.6,-0.6,1.0,1.3,1.6,-0.3,1.2,1.3616315434480502,1.6636739821824293,-0.3020424387343797,1.4267101057858933,1.7864924386231364,-0.35978233283724276,3.0,2.0,1.0,-1.0,-0.39999999999999997,-0.4859436380117614,-0.6024063007720146,
0.8,1.6,-0.8,0.8,1.3,1.8,-0.5,0.9,1.1706595724545876,1.6696561742573415,-0.498996601802754,1.1062673954494169,1.6466740893107037,-0.5404066938612871,1.0,2.0,0.0,1.0,1.2,-0.2,1.0,1.2,1.4,-0.2,1.3,1.2129213198082809,1.4091022982329369,-0.19618097842465607,1.1044204367432982,1.3817097466269692,-0.277289309883671,1.0,2.0,0.0,-0.6000000000000001,-0.3,-0.302815623378098,-0.26311738397761614,
0.8,0.4,0.4,1.8,0.7,1.1,-0.4,1.1,0.8383129066594858,1.1060185847462563,-0.2677056780867705,0.7796665968764267,0.8764253944834108,-0.09675879760698416,3.0,3.0,0.0,0.8,0.2,0.6,2.0,0.8,0.8,0.0,1.6,0.8684366990584701,1.1444678126893961,-0.2760311136309258,0.7636964614920781,0.7628413545157499,0.0008551069763282374,3.0,3.0,0.0,-0.19999999999999996,-0.4,0.008325435544155324,-0.0976139045833124,
1.4,1.8,-0.4,1.4,1.2,1.9,-0.7,1.3,1.1937463278393328,1.6940483992261743,-0.5003020713868416,1.290695520346321,1.9954386133746098,-0.7047430930282887,0.0,2.0,0.0,1.0,1.0,0.0,0.8,0.9,1.3,-0.4,0.9,0.9585679905984416,1.4317196547600943,-0.4731516641616533,1.0052202195613684,1.1903099599475544,-0.1850897403861856,0.0,2.0,0.0,-0.4,-0.29999999999999993,-0.0271504072251883,-0.5196533526421031,
1.2,1.2,0.0,1.4,1.3,1.2,0.1,1.5,1.2300529313987125,1.3748231008500422,-0.14477016945132984,1.2001501553428169,1.2077915703629187,-0.007641415020102333,1.0,1.0,0.0,1.4,1.8,-0.4,1.4,1.2,1.8,-0.6,1.2,1.368860028170586,1.653728551755557,-0.28486852358497106,1.442443016502561,1.6261598732393934,-0.18371685673683236,1.0,1.0,0.0,0.4,0.7,0.14009835413364122,0.17607544171673004,
