unnamed:_0,age,matches_played,starts,minutes,90s_played,assists,goals_+_assists,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band_encoded,goals
286,26,27,25,2201,24.5,3,12,1,0,0,10.9,10.1,2.9,13.1,31,47,88,0.33,0.11,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,27,-1.9000000000000004,1,9
287,23,33,24,2177,24.2,3,14,0,5,0,10.4,10.4,2.3,12.7,60,71,197,0.33,0.09,0.58,0.45,0.58,0.43,0.09,0.52,0.43,0.52,33,0.5999999999999996,2,11
288,27,24,24,2160,24.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,1,0
289,32,30,24,2110,23.4,9,16,2,1,0,7.2,5.6,8.2,13.8,96,111,265,0.23,0.3,0.68,0.26,0.64,0.31,0.35,0.66,0.24,0.59,30,-0.2000000000000001,0,7
290,21,25,24,1924,21.4,1,1,0,2,0,0.3,0.3,1.5,1.8,54,121,94,0.0,0.04,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,25,-0.3,2,0
291,21,36,22,1913,21.3,2,5,0,6,0,3.7,3.7,1.6,5.3,33,88,53,0.08,0.06,0.24,0.14,0.24,0.17,0.08,0.25,0.17,0.25,36,-0.7000000000000002,2,3
292,27,31,21,1809,20.1,7,16,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.29,0.23,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,31,3.2,1,9
293,27,26,21,1645,18.3,0,2,0,9,0,1.3,1.3,0.4,1.7,28,100,34,0.08,0.0,0.11,0.11,0.11,0.07,0.02,0.1,0.07,0.1,26,0.7,1,2
294,23,25,19,1792,19.9,2,3,0,4,1,0.6,0.6,1.8,2.3,59,105,70,0.04,0.08,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,25,0.4,2,1
295,26,18,18,1416,15.7,0,1,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,18,-0.6000000000000001,1,1
296,27,28,16,1408,15.6,0,2,0,7,0,0.6,0.6,0.3,0.9,15,75,3,0.07,0.0,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06,28,1.4,1,2
297,31,17,14,1331,14.8,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,17,-0.3,0,0
298,22,16,14,1252,13.9,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,16,-0.1,2,0
299,18,27,11,1212,13.5,1,1,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.0,0.04,0.07,0.0,0.07,0.05,0.04,0.09,0.05,0.09,27,-0.7,2,0
300,19,13,11,911,10.1,1,3,1,2,0,3.0,2.2,2.5,4.7,28,21,72,0.15,0.08,0.3,0.1,0.2,0.29,0.25,0.54,0.22,0.46,13,-1.0,2,2
301,25,10,9,842,9.4,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,10,-0.4,1,0
302,36,7,7,630,7.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,3,0
303,21,6,6,540,6.0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,6,0.0,2,0
304,27,15,4,504,5.6,1,5,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.27,0.07,0.89,0.71,0.89,0.66,0.16,0.82,0.66,0.82,15,0.2999999999999998,1,4
305,16,10,3,366,4.1,1,1,0,0,0,0.2,0.2,0.3,0.5,12,9,40,0.0,0.1,0.25,0.0,0.25,0.05,0.08,0.13,0.05,0.13,10,-0.2,2,0
306,27,4,1,196,2.2,0,0,0,2,0,0.1,0.1,0.0,0.1,5,13,12,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,4,-0.1,1,0
307,25,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0
308,19,1,0,14,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0
309,37,35,35,2823,31.4,4,13,2,5,0,11.2,9.6,3.0,12.6,29,22,120,0.26,0.11,0.41,0.26,0.38,0.36,0.1,0.45,0.31,0.4,35,-2.1999999999999997,3,9
310,26,36,34,2912,32.4,2,4,0,6,0,1.5,1.5,0.8,2.3,39,91,96,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07,36,0.5,1,2
311,26,34,30,2815,31.3,0,1,0,4,0,1.5,1.5,0.1,1.6,12,86,1,0.03,0.0,0.03,0.03,0.03,0.05,0.0,0.05,0.05,0.05,34,-0.5,1,1
312,21,30,29,2482,27.6,1,1,0,1,0,0.3,0.3,1.4,1.7,40,70,78,0.0,0.03,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,30,-0.3,2,0
313,27,28,28,2324,25.8,5,5,0,8,0,2.0,2.0,1.9,3.9,18,70,75,0.0,0.18,0.19,0.0,0.19,0.08,0.07,0.15,0.08,0.15,28,-2.0,1,0
314,24,27,27,2385,26.5,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,1,0
315,20,32,27,2182,24.2,3,5,0,4,0,1.3,1.3,4.6,5.8,73,128,89,0.06,0.09,0.21,0.08,0.21,0.05,0.19,0.24,0.05,0.24,32,0.7,2,2
316,25,31,25,2171,24.1,0,0,0,8,0,0.3,0.3,0.4,0.7,34,105,23,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,31,-0.3,1,0
317,31,22,19,1714,19.0,0,1,0,3,0,0.4,0.4,0.1,0.5,3,32,0,0.05,0.0,0.05,0.05,0.05,0.02,0.0,0.03,0.02,0.03,22,0.6,0,1
318,28,22,17,1538,17.1,2,2,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.0,0.09,0.12,0.0,0.12,0.01,0.07,0.09,0.01,0.09,22,-0.2,1,0
319,26,30,16,1615,17.9,1,5,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.13,0.03,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,30,2.2,1,4
320,31,18,16,1391,15.5,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,18,-0.1,0,0
321,23,14,13,1110,12.3,0,0,0,3,0,0.4,0.4,0.5,0.9,5,37,16,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,14,-0.4,2,0
322,23,19,12,1125,12.5,0,1,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.05,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,19,0.4,2,1
323,23,24,10,1129,12.5,0,0,0,8,0,0.4,0.4,0.3,0.6,16,35,19,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,24,-0.4,2,0
324,23,10,10,900,10.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,2,0
325,22,18,9,852,9.5,1,2,0,3,0,1.0,1.0,0.7,1.7,19,14,71,0.06,0.06,0.21,0.11,0.21,0.11,0.08,0.18,0.11,0.18,18,0.0,2,1
326,31,23,9,744,8.3,2,3,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.04,0.09,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,23,0.1999999999999999,0,1
327,20,11,6,579,6.4,2,2,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.0,0.18,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,11,-0.4,2,0
328,30,10,4,388,4.3,0,0,0,1,0,0.1,0.1,0.0,0.1,3,18,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,10,-0.1,0,0
329,31,2,1,135,1.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0
330,26,4,1,131,1.5,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,4,0.0,1,0
331,25,4,1,109,1.2,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,4,0.0,1,0
332,26,4,0,29,0.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,4,0.0,1,0
333,19,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0
334,18,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2,0
335,25,35,35,3122,34.7,2,2,0,6,0,1.3,1.3,0.5,1.8,3,80,8,0.0,0.06,0.06,0.0,0.06,0.04,0.01,0.05,0.04,0.05,35,-1.3,1,0
336,24,33,32,2743,30.5,2,3,0,5,1,1.0,1.0,4.9,5.8,52,59,137,0.03,0.06,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19,33,0.0,1,1
337,21,37,32,2593,28.8,2,14,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.32,0.05,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,37,2.6999999999999997,2,12
338,32,33,31,2751,30.6,1,2,0,10,0,0.4,0.4,1.2,1.6,22,120,13,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,33,0.6,0,1
339,20,31,30,2583,28.7,2,5,0,5,0,2.9,2.9,3.5,6.4,97,75,159,0.1,0.06,0.17,0.1,0.17,0.1,0.12,0.22,0.1,0.22,31,0.1,2,3
340,23,25,25,2205,24.5,0,1,0,5,0,1.3,1.3,0.3,1.6,11,69,11,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,25,-0.3,2,1
341,24,30,25,1959,21.8,1,2,0,2,0,0.7,0.7,0.8,1.5,26,59,20,0.03,0.03,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07,30,0.3,1,1
