goals_+_assists,penalty_attempts,xg,npxg,progressive_receives,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,goals
13,2,11.2,9.6,120,0.26,0.38,9
4,0,1.5,1.5,96,0.06,0.12,2
1,0,1.5,1.5,1,0.03,0.03,1
1,0,0.3,0.3,78,0.0,0.04,0
5,0,2.0,2.0,75,0.0,0.19,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,1.3,1.3,89,0.08,0.21,2
0,0,0.3,0.3,23,0.0,0.0,0
1,0,0.4,0.4,0,0.05,0.05,1
2,0,0.2,0.2,11,0.0,0.12,0
5,0,1.8,1.8,138,0.22,0.28,4
0,0,0.1,0.1,2,0.0,0.0,0
0,0,0.4,0.4,16,0.0,0.0,0
1,0,0.6,0.6,2,0.08,0.08,1
0,0,0.4,0.4,19,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.0,1.0,71,0.11,0.21,1
3,0,0.8,0.8,48,0.12,0.36,1
2,0,0.4,0.4,60,0.0,0.31,0
0,0,0.1,0.1,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,6,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,2,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.3,1.3,8,0.0,0.06,0
3,0,1.0,1.0,137,0.03,0.1,1
14,2,9.3,7.8,110,0.35,0.42,12
2,0,0.4,0.4,13,0.03,0.07,1
5,0,2.9,2.9,159,0.1,0.17,3
1,0,1.3,1.3,11,0.04,0.04,1
2,0,0.7,0.7,20,0.05,0.09,1
1,0,0.2,0.2,15,0.0,0.05,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,1.1,1.1,4,0.0,0.12,0
0,0,0.4,0.4,4,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
5,0,1.7,1.7,44,0.21,0.52,2
2,0,1.5,1.5,23,0.11,0.21,1
2,0,1.7,1.7,33,0.26,0.26,2
0,0,0.0,0.0,0,0.0,0.0,0
4,0,2.1,2.1,31,0.41,0.54,3
1,0,0.7,0.7,23,0.1,0.1,1
0,0,0.1,0.1,2,0.0,0.0,0
1,0,0.0,0.0,13,0.0,0.27,0
0,0,0.0,0.0,15,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.4,0.4,14,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
6,0,4.0,4.0,108,0.06,0.19,2
2,0,0.8,0.8,144,0.0,0.06,0
1,0,1.8,1.8,9,0.03,0.03,1
0,0,0.0,0.0,0,0.0,0.0,0
2,0,0.7,0.7,2,0.07,0.07,2
1,0,0.6,0.6,29,0.04,0.04,1
3,0,2.7,2.7,65,0.13,0.13,3
2,0,0.9,0.9,20,0.05,0.11,1
1,0,0.6,0.6,2,0.06,0.06,1
2,1,5.7,4.9,66,0.12,0.12,2
1,0,0.1,0.1,43,0.0,0.08,0
5,0,3.6,3.6,40,0.34,0.43,4
0,0,0.2,0.2,0,0.0,0.0,0
1,0,0.6,0.6,25,0.13,0.13,1
0,0,0.0,0.0,19,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,0.2,0.2,10,0.0,0.5,0
0,0,0.9,0.9,42,0.0,0.0,0
1,0,1.1,1.1,10,0.23,0.23,1
0,0,0.0,0.0,7,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.3,0.3,0,0.0,0.0,0
0,0,0.0,0.0,10,0.0,0.0,0
0,0,0.2,0.2,5,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
9,0,2.2,2.2,136,0.13,0.28,4
29,4,27.1,24.0,164,0.81,0.88,27
22,0,9.8,9.8,433,0.28,0.69,9
3,0,0.8,0.8,6,0.0,0.1,0
5,0,1.8,1.8,190,0.07,0.17,2
4,0,0.5,0.5,11,0.0,0.14,0
4,0,0.5,0.5,246,0.0,0.16,0
4,0,1.1,1.1,24,0.06,0.22,1
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
2,0,0.9,0.9,42,0.08,0.17,1
13,2,6.5,4.9,97,0.59,0.82,10
11,0,5.6,5.6,108,0.43,0.79,6
4,0,0.5,0.5,122,0.09,0.35,1
2,0,1.0,1.0,3,0.12,0.24,1
4,0,0.7,0.7,24,0.16,0.31,2
0,0,0.0,0.0,0,0.0,0.0,0
0,0,0.2,0.2,33,0.0,0.0,0
4,0,0.4,0.4,20,0.87,1.16,3
0,0,0.1,0.1,2,0.0,0.0,0
0,0,1.0,1.0,32,0.0,0.0,0
3,0,3.0,3.0,28,0.56,0.85,2
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,1,0.0,0.0,0
0,0,0.0,0.0,9,0.0,0.0,0
14,0,7.6,7.6,302,0.2,0.48,6
4,0,1.9,1.9,6,0.14,0.14,4
3,0,1.1,1.1,31,0.08,0.12,2
2,0,0.6,0.6,66,0.0,0.09,0
10,0,4.2,4.2,254,0.23,0.45,5
0,0,0.0,0.0,0,0.0,0.0,0
9,0,6.7,6.6,64,0.34,0.44,7
3,0,2.3,2.3,2,0.15,0.15,3
1,0,1.0,1.0,32,0.05,0.05,1
1,0,0.5,0.5,0,0.05,0.05,1
16,3,9.7,7.3,115,0.67,0.72,15
4,0,1.0,1.0,78,0.0,0.23,0
2,0,0.3,0.3,59,0.0,0.12,0
4,0,1.9,1.9,49,0.07,0.28,1
0,0,0.0,0.0,0,0.0,0.0,0
0,1,1.2,0.4,22,0.0,0.0,0
0,0,0.2,0.2,21,0.0,0.0,0
2,0,3.5,3.5,67,0.12,0.24,1
1,0,0.8,0.8,60,0.14,0.14,1
0,0,0.2,0.2,0,0.0,0.0,0
0,0,0.0,0.0,0,0.0,0.0,0
0,1,1.7,0.9,5,0.0,0.0,0
