HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Leicester,Derby,H,L,L,D,D,W,L,L,L,D,L,5,1,0.090909091,-1
Man United,Southampton,H,W,W,L,D,W,L,D,L,W,W,10,7,1.636363636,-0.272727273
Sunderland,Coventry,H,D,W,D,D,W,L,W,D,L,L,9,4,-0.272727273,-0.909090909
West Ham,Newcastle,H,L,D,D,W,D,L,W,W,L,L,6,6,-0.181818182,0.181818182
Bradford,Leeds,NH,L,L,D,L,L,D,L,W,W,D,1,8,-1.090909091,0.090909091
Liverpool,Everton,H,W,W,L,D,D,W,D,L,D,L,8,5,0.363636364,-0.272727273
Charlton,Bradford,H,W,L,D,W,W,L,L,D,L,L,10,1,0,-1.090909091
Coventry,Man United,NH,L,L,W,D,L,W,W,W,L,D,4,10,-0.916666667,1.916666667
Leeds,Liverpool,H,W,D,L,W,W,W,W,W,L,D,10,10,0.166666667,0.5
Man City,Leicester,NH,L,W,W,L,D,W,L,L,D,D,7,5,-0.416666667,0.166666667
Middlesbrough,Arsenal,NH,L,L,L,W,D,W,W,W,W,D,4,13,-0.166666667,1
Newcastle,Ipswich,H,L,L,W,W,L,W,W,D,W,D,6,11,0.083333333,0.333333333
Southampton,Chelsea,H,L,L,D,L,W,W,W,L,W,D,4,10,-0.666666667,0.666666667
Tottenham,Sunderland,H,L,W,L,L,D,W,D,W,D,D,4,9,-0.166666667,-0.166666667
Everton,Aston Villa,NH,L,W,D,L,D,W,W,D,L,W,5,10,-0.416666667,0.416666667
Derby,West Ham,NH,L,L,L,L,D,W,L,D,D,W,1,8,-1,-0.083333333
Arsenal,Derby,NH,W,W,W,W,D,L,L,L,L,D,13,1,1,-1
Aston Villa,Tottenham,H,W,W,W,D,L,W,L,W,L,L,10,6,0.538461538,-0.076923077
Bradford,Everton,NH,L,D,L,L,D,L,L,W,D,L,2,4,-1.076923077,-0.461538462
Ipswich,Charlton,H,L,W,W,D,W,W,L,W,L,D,10,7,0.230769231,0.076923077
Leicester,Newcastle,NH,W,W,L,L,D,W,L,L,W,W,7,9,0.230769231,0.153846154
Man United,Middlesbrough,H,W,W,W,W,L,L,L,L,L,W,12,3,1.846153846,-0.230769231
Sunderland,Southampton,NH,L,W,D,W,D,W,L,L,D,L,8,4,-0.230769231,-0.538461538
West Ham,Man City,H,D,W,L,D,D,L,L,W,W,L,6,6,-0.076923077,-0.461538462
Chelsea,Leeds,NH,L,W,W,L,W,D,W,D,L,W,9,8,0.538461538,0.153846154
Liverpool,Coventry,H,L,W,W,W,L,L,L,L,W,D,9,4,0.384615385,-0.923076923
Charlton,Chelsea,H,W,L,W,L,D,L,W,W,L,W,7,9,0.076923077,0.538461538
Derby,Bradford,H,D,D,L,L,L,L,L,D,L,L,2,1,-0.857142857,-1.071428571
Everton,Arsenal,H,W,L,L,W,D,D,W,W,W,W,7,13,-0.357142857,0.928571429
Leeds,West Ham,NH,L,D,W,D,L,W,D,W,L,D,5,8,0.071428571,0.142857143
Man City,Man United,NH,L,L,L,W,W,W,W,W,W,W,6,15,-0.642857143,1.785714286
Middlesbrough,Leicester,NH,L,L,L,L,L,D,W,W,L,L,0,7,-0.285714286,0.214285714
Newcastle,Sunderland,NH,D,W,L,L,W,D,L,W,D,W,7,8,0.142857143,-0.214285714
Southampton,Aston Villa,H,D,W,L,L,D,L,W,W,W,D,5,10,-0.5,0.357142857
Tottenham,Liverpool,H,L,W,L,W,L,W,L,W,W,W,6,12,-0.214285714,0.571428571
Coventry,Ipswich,NH,L,L,L,L,W,W,L,W,W,D,3,10,-1.071428571,0.357142857
Charlton,Sunderland,NH,L,W,L,W,L,D,L,W,D,W,6,8,-0.071428571,-0.214285714
Coventry,Aston Villa,NH,L,L,L,L,L,D,L,W,W,W,0,10,-1.066666667,0.333333333
Derby,Man United,NH,W,D,D,L,L,W,W,W,W,W,5,15,-0.666666667,1.733333333
Everton,Chelsea,H,W,W,L,L,W,L,D,L,W,W,9,7,-0.2,0.333333333
Man City,Ipswich,NH,L,L,L,L,W,W,W,L,W,W,3,12,-0.666666667,0.4
Middlesbrough,Bradford,NH,L,L,L,L,L,L,L,L,D,L,0,1,-0.466666667,-1.133333333
Southampton,West Ham,NH,W,D,W,L,L,W,W,D,W,L,7,10,-0.333333333,0.2
Tottenham,Leicester,H,W,L,W,L,W,W,D,W,W,L,9,10,-0.133333333,0.4
