FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
H,8,11,14,11,0.8888888888888888,1.2222222222222223,D,L,L,D,L,L,D,L,W,W,7,-0.6666666666666666,0.0,-0.3333333333333333,-0.5555555555555556
NH,11,11,15,12,0.8888888888888888,1.0,L,D,L,W,L,L,W,W,L,D,7,-0.4444444444444444,-0.1111111111111111,-0.1111111111111111,-0.3333333333333333
NH,11,10,10,11,1.2222222222222223,0.7777777777777778,W,D,W,L,L,D,W,D,L,D,6,0.1111111111111111,-0.1111111111111111,0.4444444444444444,0.1111111111111111
H,14,14,10,13,1.5555555555555556,1.3333333333333333,W,W,D,L,D,D,W,W,D,D,9,0.4444444444444444,0.1111111111111111,0.2222222222222222,-0.1111111111111111
NH,7,20,2,8,1.7777777777777777,1.6666666666666667,D,D,W,W,W,L,D,W,W,W,10,0.5555555555555556,1.3333333333333333,0.1111111111111111,0.1111111111111111
H,10,4,14,12,0.8888888888888888,0.6666666666666666,L,D,D,L,W,D,L,L,D,L,2,-0.4444444444444444,-0.8888888888888888,0.2222222222222222,0.3333333333333333
H,7,13,11,12,1.0,1.1111111111111112,D,D,W,L,D,W,D,L,D,D,6,-0.4444444444444444,0.1111111111111111,-0.1111111111111111,0.0
NH,14,12,19,13,0.5555555555555556,1.3333333333333333,L,D,L,D,D,L,D,D,W,W,8,-0.5555555555555556,-0.1111111111111111,-0.7777777777777778,-0.5555555555555556
NH,14,8,12,7,1.1111111111111112,1.4444444444444444,W,D,D,L,D,W,L,L,D,W,7,0.2222222222222222,0.1111111111111111,-0.3333333333333333,-0.1111111111111111
NH,4,11,12,10,0.6666666666666666,1.2222222222222223,D,L,L,D,L,W,D,W,L,L,7,-0.8888888888888888,0.1111111111111111,-0.5555555555555556,-0.5555555555555556
H,15,15,16,15,1.2,1.0,L,D,W,W,D,L,W,D,D,L,5,-0.1,0.0,0.2,0.3
H,13,10,13,15,1.0,1.1,L,W,D,L,D,W,D,L,L,D,5,0.0,-0.5,-0.1,0.0
H,16,7,13,5,1.5,1.6,W,L,D,D,W,L,D,D,W,W,8,0.3,0.2,-0.1,0.0
H,23,14,8,13,1.8,1.4,W,L,D,W,W,L,W,W,D,L,7,1.5,0.1,0.4,0.3
NH,11,12,8,16,1.6,0.9,W,W,L,L,D,D,L,D,L,W,5,0.3,-0.4,0.7,0.2
H,12,14,13,23,1.1,0.5,L,L,D,L,W,L,L,D,L,D,2,-0.1,-0.9,0.6,0.2
NH,11,15,12,9,0.8,1.8,D,D,W,D,L,W,W,D,W,D,11,-0.1,0.6,-1.0,-0.5
NH,11,8,8,11,1.3,1.2,D,L,W,D,W,W,D,D,W,L,8,0.3,-0.3,0.1,0.0
NH,12,12,13,14,1.0,1.1,D,L,W,W,L,W,L,D,D,L,5,-0.1,-0.2,-0.1,0.2
H,15,12,9,14,1.8,1.1,W,W,D,W,D,W,L,D,D,L,5,0.6,-0.2,0.7,0.6
H,13,16,9,16,1.4545454545454546,1.3636363636363635,W,D,L,W,D,W,L,D,W,W,10,0.3636363636363636,0.0,0.0909090909090909,-0.1818181818181818
H,19,15,14,14,1.181818181818182,1.2727272727272727,W,L,W,D,L,W,L,L,D,L,4,0.4545454545454545,0.0909090909090909,-0.0909090909090909,0.2727272727272727
H,14,15,11,16,1.3636363636363635,0.9090909090909092,W,D,W,D,W,L,L,W,D,D,5,0.2727272727272727,-0.0909090909090909,0.4545454545454545,0.5454545454545454
H,7,15,6,26,1.4545454545454546,0.4545454545454545,L,L,D,D,W,L,L,L,D,L,1,0.0909090909090909,-1.0,1.0,0.3636363636363636
H,26,12,8,15,1.9090909090909087,0.9090909090909092,W,W,L,D,W,L,D,L,W,W,7,1.6363636363636365,-0.2727272727272727,1.0,0.2727272727272727
H,8,11,11,21,1.181818181818182,1.0,D,W,D,D,W,L,W,D,L,L,4,-0.2727272727272727,-0.9090909090909092,0.1818181818181818,0.4545454545454545
H,12,11,14,9,0.7272727272727273,1.4545454545454546,L,D,D,W,D,L,W,W,L,L,6,-0.1818181818181818,0.1818181818181818,-0.7272727272727273,0.0
NH,4,15,16,14,0.5454545454545454,1.3636363636363635,L,L,D,L,L,D,L,W,W,D,8,-1.0909090909090908,0.0909090909090909,-0.8181818181818182,-0.6363636363636364
H,17,13,13,16,1.6363636363636365,1.0909090909090908,W,W,L,D,D,W,D,L,D,L,5,0.3636363636363636,-0.2727272727272727,0.5454545454545454,0.2727272727272727
H,16,4,16,16,1.3636363636363635,0.5454545454545454,W,L,D,W,W,L,L,D,L,L,1,0.0,-1.0909090909090908,0.8181818181818182,0.8181818181818182
NH,11,31,22,8,0.9166666666666666,2.0,L,L,W,D,L,W,W,W,L,D,10,-0.9166666666666666,1.9166666666666667,-1.0833333333333333,-0.5
H,19,20,17,14,1.5,1.75,W,D,L,W,W,W,W,W,L,D,10,0.1666666666666666,0.5,-0.25,0.0
NH,14,9,19,7,1.1666666666666667,1.5833333333333333,L,W,W,L,D,W,L,L,D,D,5,-0.4166666666666667,0.1666666666666666,-0.4166666666666667,0.1666666666666666
NH,16,22,18,10,0.8333333333333334,2.0,L,L,L,W,D,W,W,W,W,D,13,-0.1666666666666666,1.0,-1.1666666666666667,-0.75
H,11,16,10,12,1.3333333333333333,1.5,L,L,W,W,L,W,W,D,W,D,11,0.0833333333333333,0.3333333333333333,-0.1666666666666666,-0.4166666666666667
H,12,22,20,14,0.8333333333333334,1.3333333333333333,L,L,D,L,W,W,W,L,W,D,10,-0.6666666666666666,0.6666666666666666,-0.5,-0.5
H,15,9,17,11,1.1666666666666667,1.3333333333333333,L,W,L,L,D,W,D,W,D,D,9,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.4166666666666667
NH,14,14,19,9,1.0,1.5833333333333333,L,W,D,L,D,W,W,D,L,W,10,-0.4166666666666667,0.4166666666666667,-0.5833333333333334,-0.4166666666666667
NH,16,13,28,14,0.4166666666666667,0.9166666666666666,L,L,L,L,D,W,L,D,D,W,8,-1.0,-0.0833333333333333,-0.5,-0.5833333333333334
NH,22,16,10,28,2.0,0.4166666666666667,W,W,W,W,D,L,L,L,L,D,1,1.0,-1.0,1.5833333333333333,1.0
H,16,17,9,18,1.6923076923076923,1.3076923076923077,W,W,W,D,L,W,L,W,L,L,6,0.5384615384615384,-0.0769230769230769,0.3846153846153846,0.3076923076923077
NH,5,14,19,20,0.5384615384615384,0.9230769230769232,L,D,L,L,D,L,L,W,D,L,4,-1.0769230769230769,-0.4615384615384615,-0.3846153846153846,-0.1538461538461538
H,17,19,14,18,1.3846153846153846,1.3846153846153846,L,W,W,D,W,W,L,W,L,D,7,0.2307692307692307,0.0769230769230769,0.0,0.2307692307692307
NH,10,13,7,11,1.6923076923076923,1.4615384615384617,W,W,L,L,D,W,L,L,W,W,9,0.2307692307692307,0.1538461538461538,0.2307692307692307,-0.1538461538461538
H,33,16,9,19,2.076923076923077,0.7692307692307693,W,W,W,W,L,L,L,L,L,W,3,1.8461538461538465,-0.2307692307692307,1.3076923076923077,0.6923076923076923
NH,10,15,13,22,1.2307692307692308,1.0,L,W,D,W,D,W,L,L,D,L,4,-0.2307692307692307,-0.5384615384615384,0.2307692307692307,0.3076923076923077
H,13,14,14,20,0.9230769230769232,1.0769230769230769,D,W,L,D,D,L,L,W,W,L,6,-0.0769230769230769,-0.4615384615384615,-0.1538461538461538,0.0
NH,24,20,17,18,1.2307692307692308,1.4615384615384617,L,W,W,L,W,D,W,D,L,W,8,0.5384615384615384,0.1538461538461538,-0.2307692307692307,0.0769230769230769
H,23,12,18,24,1.6153846153846154,0.8461538461538461,L,W,W,W,L,L,L,L,W,D,4,0.3846153846153846,-0.9230769230769232,0.7692307692307693,0.3846153846153846
H,19,24,18,17,1.3846153846153846,1.2307692307692308,W,L,W,L,D,L,W,W,L,W,9,0.0769230769230769,0.5384615384615384,0.1538461538461538,-0.1538461538461538
H,16,5,28,20,0.5,0.5,D,D,L,L,L,L,L,D,L,L,1,-0.8571428571428571,-1.0714285714285714,0.0,0.0714285714285714
H,15,23,20,10,1.0714285714285714,2.0,W,L,L,W,D,D,W,W,W,W,13,-0.3571428571428571,0.9285714285714286,-0.9285714285714286,-0.4285714285714285
NH,20,17,19,15,1.3571428571428572,1.0714285714285714,L,D,W,D,L,W,D,W,L,D,8,0.0714285714285714,0.1428571428571428,0.2857142857142857,-0.2142857142857142
NH,15,35,24,10,1.0,2.142857142857143,L,L,L,W,W,W,W,W,W,W,15,-0.6428571428571429,1.7857142857142858,-1.1428571428571428,-0.6428571428571429
NH,17,11,21,8,0.7142857142857143,1.6428571428571428,L,L,L,L,L,D,W,W,L,L,7,-0.2857142857142857,0.2142857142857142,-0.9285714285714286,-0.5
NH,14,12,12,15,1.4285714285714286,1.2142857142857142,D,W,L,L,W,D,L,W,D,W,8,0.1428571428571428,-0.2142857142857142,0.2142857142857142,-0.0714285714285714
H,17,16,24,11,1.0,1.5714285714285714,D,W,L,L,D,L,W,W,W,D,10,-0.5,0.3571428571428571,-0.5714285714285714,-0.3571428571428571
H,17,27,20,19,1.2142857142857142,1.7142857142857142,L,W,L,W,L,W,L,W,W,W,12,-0.2142857142857142,0.5714285714285714,-0.5,-0.4285714285714285
NH,13,19,28,14,0.7857142857142857,1.5,L,L,L,L,W,W,L,W,W,D,10,-1.0714285714285714,0.3571428571428571,-0.7142857142857143,-0.5
NH,19,12,20,15,1.2857142857142858,1.2142857142857142,L,W,L,W,L,D,L,W,D,W,8,-0.0714285714285714,-0.2142857142857142,0.0714285714285714,-0.1428571428571428
NH,13,17,29,12,0.7333333333333333,1.5333333333333334,L,L,L,L,L,D,L,W,W,W,10,-1.0666666666666669,0.3333333333333333,-0.8,-0.6666666666666666
NH,18,36,28,10,0.6666666666666666,2.2,W,D,D,L,L,W,W,W,W,W,15,-0.6666666666666666,1.7333333333333334,-1.5333333333333334,-0.6666666666666666
H,17,25,20,20,1.2,1.1333333333333333,W,W,L,L,W,L,D,L,W,W,7,-0.2,0.3333333333333333,0.0666666666666666,0.1333333333333333
NH,15,20,25,14,0.9333333333333332,1.6,L,L,L,L,W,W,W,L,W,W,12,-0.6666666666666666,0.4,-0.6666666666666666,-0.6
NH,17,5,24,22,0.6666666666666666,0.4666666666666667,L,L,L,L,L,L,L,L,D,L,1,-0.4666666666666667,-1.1333333333333333,0.2,-0.0666666666666666
NH,19,18,24,15,1.1333333333333333,1.2,W,D,W,L,L,W,W,D,W,L,10,-0.3333333333333333,0.2,-0.0666666666666666,-0.2
H,19,14,21,8,1.3333333333333333,1.7333333333333334,W,L,W,L,W,W,D,W,W,L,10,-0.1333333333333333,0.4,-0.4,-0.0666666666666666
H,21,23,19,12,1.4666666666666666,1.8666666666666667,W,L,D,W,D,L,D,W,W,W,10,0.1333333333333333,0.7333333333333333,-0.4,-0.1333333333333333
H,15,28,14,21,1.3333333333333333,1.6,L,D,W,L,L,L,W,L,W,W,9,0.0666666666666666,0.4666666666666667,-0.2666666666666666,-0.3333333333333333
H,23,19,12,24,1.8666666666666667,1.1333333333333333,L,D,W,W,W,W,D,W,L,L,7,0.7333333333333333,-0.3333333333333333,0.7333333333333333,0.2
NH,18,17,13,15,1.5,1.4375,D,D,L,W,W,W,L,D,W,L,7,0.3125,0.125,0.0625,0.0625
H,7,14,24,30,0.5,0.75,D,L,L,L,D,D,L,L,L,L,1,-1.0625,-1.0,-0.25,0.0625
NH,23,18,16,31,1.6875,0.625,W,W,W,L,W,L,W,D,D,L,5,0.4375,-0.8125,1.0625,0.4375
H,14,22,11,22,1.625,1.375,L,W,D,W,W,L,W,L,D,W,7,0.1875,0.0,0.25,0.1875
H,29,21,23,21,1.5,1.3125,L,L,W,L,W,L,W,L,W,L,6,0.375,0.0,0.1875,0.0
