age,matches_played,goals,assists,non_penalty_goals,penalty_goals_made,penalty_attempts,xg,npxg,xag,npxg_+_xag,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,xg_per_90,xag_per_90,npxg_per_90,player_encoded,nation_encoded,position_encoded,goals_per_match,assists_per_match,combined_per_match,scoring_consistency,penalty_ratio,open_play_goal_ratio,age_squared,age_goals_interaction,age_efficiency_index,experience_factor,prime_age_indicator,goals_vs_xg,goals_vs_xg_ratio,assists_vs_xag,scoring_threat_index,total_involvement,involvement_per_90,primary_threat_ratio,match_availability,high_availability,overall_threat_score,xg_consistency,penalty_dependence
31,20,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1894,56,5,0.0,0.0,0.0,0.0,0.0,0.0,961,0,0.0,0.6666666666666666,0.8076923076923077,0.0,0.0,-0.1,0.10526315789473684,0,0.0,0.0,0.5263157894736842,0,0.1860323886639676,1.0,0.0
26,6,0,0,0,0,0,0.3,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.28,0.15,0.28,601,54,0,0.0,0.0,0.0,0.0,0.0,0.0,676,0,0.0,0.375,1.0,-0.3,0.0,-0.2,0.10157894736842106,0,0.0,0.0,0.15789473684210525,0,0.13157894736842107,0.7692307692307693,0.0
23,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886,27,2,0.0,0.0,0.0,0.0,0.0,0.0,529,0,0.0,0.09090909090909091,0.8846153846153846,0.0,0.0,0.0,0.005263157894736842,0,0.0,0.0,0.02631578947368421,0,0.09372469635627531,1.0,0.0
18,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862,32,3,0.0,0.0,0.0,0.0,0.0,0.0,324,0,0.0,0.09090909090909091,0.6923076923076923,0.0,0.0,0.0,0.005263157894736842,0,0.0,0.0,0.02631578947368421,0,0.07449392712550608,1.0,0.0
28,38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457,34,2,0.0,0.0,0.0,0.0,0.0,0.0,784,0,0.0,0.7916666666666666,0.9230769230769231,0.0,0.0,0.0,0.2,0,0.0,0.0,1.0,1,0.2923076923076923,1.0,0.0
23,35,2,0,2,0,0,2.3,2.3,0.9,3.1,0.06,0.0,0.06,0.06,0.07,0.03,0.07,1906,37,1,0.05555555555555555,0.0,0.05555555555555555,0.056603773584905655,0.0,0.6666666666666666,529,46,0.04225352112676056,0.7777777777777778,0.8846153846153846,-0.2999999999999998,0.6060606060606061,-0.9,0.3439226475279107,2,0.06,0.6666666666666666,0.9210526315789473,1,0.29667206477732794,0.9090909090909092,0.0
25,35,4,7,4,0,0,3.5,3.5,6.6,10.1,0.13,0.22,0.35,0.13,0.11,0.21,0.11,468,32,3,0.1111111111111111,0.19444444444444445,0.3055555555555556,0.11504424778761063,0.0,0.8,625,100,0.08666666666666667,0.7777777777777778,0.9615384615384616,0.5,0.8888888888888888,0.40000000000000036,0.43498830409356726,11,0.35,0.3333333333333333,0.9210526315789473,1,0.39836437246963563,0.8888888888888888,0.0
31,35,4,2,4,0,0,2.3,2.3,2.1,4.3,0.13,0.06,0.19,0.13,0.07,0.07,0.07,1802,42,5,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.11504424778761063,0.0,0.8,961,124,0.07471264367816093,0.7777777777777778,0.8076923076923077,1.7000000000000002,1.2121212121212122,-0.10000000000000009,0.4896347687400319,6,0.19,0.5714285714285714,0.9210526315789473,1,0.33497975708502026,0.48484848484848475,0.0
29,38,8,7,8,0,0,7.2,7.2,6.1,13.3,0.28,0.25,0.53,0.28,0.25,0.22,0.25,1086,9,0,0.20512820512820512,0.1794871794871795,0.38461538461538464,0.21875000000000003,0.0,0.8888888888888888,841,232,0.16867469879518074,0.7916666666666666,0.8846153846153846,0.7999999999999998,0.9756097560975611,0.9000000000000004,0.5556219512195122,15,0.53,0.5,1.0,1,0.4754615384615385,0.9024390243902439,0.0
26,28,3,1,3,0,0,2.6,2.6,0.9,3.5,0.11,0.04,0.15,0.11,0.1,0.03,0.1,651,13,1,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.09909909909909909,0.0,0.75,676,78,0.07142857142857142,0.7368421052631579,1.0,0.3999999999999999,0.8333333333333333,0.09999999999999998,0.3775350877192982,4,0.15,0.6,0.7368421052631579,0,0.3033684210526316,0.888888888888889,0.0
23,30,1,3,1,0,0,1.2,1.2,0.8,2.1,0.04,0.11,0.15,0.04,0.05,0.03,0.05,992,74,1,0.03225806451612903,0.0967741935483871,0.12903225806451613,0.038461538461538464,0.0,0.5,529,23,0.028169014084507043,0.75,0.8846153846153846,-0.19999999999999996,0.45454545454545453,2.2,0.2753038277511962,4,0.15,0.2,0.7894736842105263,1,0.2953562753036438,0.9090909090909092,0.0
25,30,3,8,2,1,1,4.8,4.0,5.4,9.5,0.12,0.31,0.43,0.08,0.19,0.21,0.16,1247,77,3,0.0967741935483871,0.25806451612903225,0.3548387096774194,0.10714285714285712,0.5,0.5,625,75,0.08,0.75,0.9615384615384616,-1.7999999999999998,0.5172413793103449,2.5999999999999996,0.3508430127041743,11,0.43,0.25,0.7894736842105263,1,0.39504858299595147,0.6896551724137931,0.25
28,28,7,2,7,0,0,5.9,5.9,2.0,7.9,0.4,0.11,0.51,0.4,0.34,0.11,0.34,1351,34,4,0.2413793103448276,0.06896551724137931,0.3103448275862069,0.28571428571428575,0.0,0.875,784,196,0.24691358024691357,0.7368421052631579,0.9230769230769231,1.0999999999999996,1.0144927536231882,0.0,0.5752669717772693,9,0.51,0.7,0.7368421052631579,0,0.4326761133603239,0.8405797101449276,0.0
17,23,1,0,1,0,0,0.2,0.2,0.4,0.6,0.07,0.0,0.07,0.07,0.01,0.03,0.01,1392,32,1,0.041666666666666664,0.0,0.041666666666666664,0.06542056074766356,0.0,0.5,289,17,0.05932203389830508,0.696969696969697,0.6538461538461539,0.8,0.8333333333333334,-0.4,0.31471929824561407,1,0.07,0.5,0.6052631578947368,0,0.21443724696356276,0.33333333333333326,0.0
26,17,0,2,0,0,0,0.5,0.5,1.4,1.8,0.0,0.15,0.15,0.0,0.03,0.1,0.03,261,32,1,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,676,0,0.0,0.6296296296296297,1.0,-0.5,0.0,0.6000000000000001,0.09697368421052632,2,0.15,0.0,0.4473684210526316,0,0.2344736842105263,0.6666666666666667,0.0
22,19,2,1,2,0,0,0.9,0.9,0.3,1.1,0.18,0.09,0.27,0.18,0.08,0.03,0.08,1621,54,1,0.1,0.05,0.15,0.15254237288135594,0.0,0.6666666666666666,484,44,0.13043478260869565,0.6551724137931034,0.8461538461538461,1.1,1.0526315789473684,0.7,0.3935263157894737,3,0.27,0.5,0.5,0,0.2836153846153846,0.42105263157894735,0.0
24,17,1,0,1,0,0,0.2,0.2,0.3,0.5,0.08,0.0,0.08,0.08,0.01,0.03,0.01,825,82,1,0.05555555555555555,0.0,0.05555555555555555,0.07407407407407407,0.0,0.5,576,24,0.05479452054794521,0.6296296296296297,0.9230769230769231,0.8,0.8333333333333334,-0.3,0.286640350877193,1,0.08,0.5,0.4473684210526316,0,0.21378137651821863,0.33333333333333326,0.0
32,15,0,0,0,0,0,0.1,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.01,0.05,0.01,946,54,3,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0.0,0.6,0.7692307692307693,-0.1,0.0,-0.4,0.08144736842105264,0,0.0,0.0,0.39473684210526316,0,0.15587044534412958,0.9090909090909091,0.0
27,17,3,0,3,0,0,3.0,3.0,0.7,3.7,0.44,0.0,0.44,0.44,0.44,0.1,0.44,650,13,0,0.16666666666666666,0.0,0.16666666666666666,0.3055555555555556,0.0,0.75,729,81,0.27848101265822783,0.6296296296296297,0.9615384615384616,0.0,0.75,-0.7,0.5034736842105263,3,0.44,0.75,0.4473684210526316,0,0.36162753036437245,1.0,0.0
21,1,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.94,0.0,0.94,1410,32,0,0.0,0.0,0.0,0.0,0.0,0.0,441,0,0.0,0.09090909090909091,0.8076923076923077,-0.1,0.0,0.0,0.24026315789473682,0,0.0,0.0,0.02631578947368421,0,0.08603238866396762,0.9090909090909091,0.0
25,1,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.37,0.0,2.37,1778,56,1,0.0,0.0,0.0,0.0,0.0,0.0,625,0,0.0,0.09090909090909091,0.9615384615384616,-0.2,0.0,0.0,0.5977631578947369,0,0.0,0.0,0.02631578947368421,0,0.101417004048583,0.8333333333333333,0.0
24,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614,32,0,0.0,0.0,0.0,0.0,0.0,0.0,576,0,0.0,0.09090909090909091,0.9230769230769231,0.0,0.0,0.0,0.005263157894736842,0,0.0,0.0,0.02631578947368421,0,0.09757085020242916,1.0,0.0
