unnamed:_0,player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non_penalty_goals,penalty_goals_made,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band,player_encoded,nation_encoded,age_band_encoded
1158,Stefan Posch,AUT,DF,27,5,4,387,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,23,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,5,-0.2,Peak,1756,6,1
1159,Giorgio Scalvini,ITA,DF,20,6,4,272,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,5,20,7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,6,-0.1,Prospect,686,54,2
1160,Ibrahim Sulemana,GHA,MT,21,9,3,283,3.1,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,2,12,2,0.22,0.0,0.64,0.64,0.64,0.18,0.01,0.19,0.18,0.19,9,1.4,Prospect,760,42,2
1161,Rui Patrício,POR,GB,36,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Veteran,1660,83,3
1162,Rafael Tolói,ITA,DF,33,11,2,468,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,26,5,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,11,-0.1,Experienced,1591,54,0
1163,Marco Palestra,ITA,DF,19,9,2,222,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,13,6,14,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,9,0.0,Prospect,1211,54,2
1164,Juan Musso,ARG,GB,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Experienced,968,3,0
1165,Ben Godfrey,ENG,DF,26,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Peak,257,32,1
1166,Mitchel Bakker,NED,MT,24,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Peak,1363,74,1
1167,Federico Cassa,ITA,"MT,AT",18,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,600,54,2
1168,Alberto Manzoni,ITA,MT,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,1,-0.1,Prospect,59,54,2
1169,Gianluca Scamacca,ITA,AT,25,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,1,-0.1,Peak,681,54,1
1170,Obite N'Dicka,CIV,DF,24,38,38,3420,38.0,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.8,29,107,5,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,38,-1.0,Peak,1474,17,1
1171,Mile Svilar,SRB,GB,24,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,Peak,1359,90,1
1172,Angeliño,ESP,DF,27,38,36,3177,35.3,2,1,3,2,0,0,1,0,1.4,1.4,3.7,5.1,66,172,172,0.05,0.03,0.08,0.06,0.08,0.04,0.1,0.15,0.04,0.15,38,0.6000000000000001,Peak,164,34,1
1173,Gianluca Mancini,ITA,DF,28,37,36,3143,34.9,2,0,2,2,0,0,8,0,1.7,1.7,0.9,2.6,45,139,23,0.05,0.0,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,37,0.30000000000000004,Peak,680,54,1
1174,Manu Koné,FRA,MT,23,34,31,2572,28.6,2,1,3,2,0,0,6,0,3.4,3.4,1.7,5.0,70,144,50,0.06,0.03,0.1,0.07,0.1,0.12,0.06,0.18,0.12,0.18,34,-1.4,Prospect,1192,37,2
1175,Artem Dovbyk,UKR,AT,27,32,27,2418,26.9,12,2,14,10,2,2,0,0,11.9,10.3,2.4,12.7,24,16,175,0.38,0.06,0.52,0.37,0.45,0.44,0.09,0.53,0.38,0.47,32,0.09999999999999964,Peak,215,99,1
1176,Zeki Çelik,TUR,DF,27,31,27,2256,25.1,0,2,2,0,0,0,5,0,0.6,0.6,1.6,2.2,28,106,93,0.0,0.06,0.08,0.0,0.08,0.02,0.07,0.09,0.02,0.09,31,-0.6,Peak,1962,98,1
1177,Bryan Cristante,ITA,MT,29,30,23,2045,22.7,4,2,6,4,0,0,8,0,2.1,2.1,1.4,3.5,25,145,41,0.13,0.07,0.26,0.18,0.26,0.09,0.06,0.15,0.09,0.15,30,1.9,Experienced,310,54,0
1178,Matìas Soulé,ARG,"MT,DF",21,27,22,1781,19.8,5,5,10,5,0,0,3,0,3.0,3.0,5.2,8.3,84,89,191,0.19,0.19,0.51,0.25,0.51,0.15,0.26,0.42,0.15,0.42,27,2.0,Prospect,1304,3,2
1179,Lorenzo Pellegrini,ITA,MT,28,25,20,1626,18.1,2,1,3,1,1,1,4,0,4.7,3.9,2.5,6.4,27,61,82,0.08,0.04,0.17,0.06,0.11,0.26,0.14,0.4,0.22,0.35,25,-2.7,Peak,1117,54,1
1180,Leandro Paredes,ARG,MT,30,22,15,1373,15.3,3,1,4,1,2,2,4,0,2.3,0.7,1.5,2.2,17,106,14,0.14,0.05,0.26,0.07,0.13,0.15,0.1,0.25,0.05,0.15,22,0.7000000000000002,Experienced,1085,3,0
1181,Niccolò Pisilli,ITA,MT,19,28,11,1227,13.6,2,1,3,2,0,0,7,0,2.7,2.7,0.7,3.4,22,63,44,0.07,0.04,0.22,0.15,0.22,0.2,0.05,0.25,0.2,0.25,28,-0.7000000000000002,Prospect,1427,54,2
1182,Mats Hummels,GER,DF,35,14,11,915,10.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,4,26,1,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,14,-0.5,Veteran,1280,41,3
1183,Tommaso Baldanzi,ITA,"MT,AT",21,31,5,832,9.2,1,1,2,1,0,0,2,0,1.4,1.4,1.0,2.4,39,23,57,0.03,0.03,0.22,0.11,0.22,0.16,0.1,0.26,0.16,0.26,31,-0.3999999999999999,Prospect,1831,54,2
1184,Devyne Rensch,NED,DF,21,14,5,469,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.0,2,14,25,0.0,0.07,0.19,0.0,0.19,0.05,0.15,0.2,0.05,0.2,14,-0.3,Prospect,481,74,2
1185,Enzo Le Fée,FRA,MT,24,6,4,318,3.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,15,28,3,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.1,0.06,0.1,6,-0.2,Peak,564,37,1
1186,Mario Hermoso,ESP,DF,29,8,2,251,2.8,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,3,14,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,8,-0.1,Experienced,1226,34,0
1187,Lucas Gourna-Douath,FRA,MT,20,6,2,229,2.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,9,9,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,6,-0.1,Prospect,1136,37,2
1188,Saud Abdulhamid,KSA,DF,25,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.0,0.25,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,4,0.0,Peak,1693,59,1
1189,Anass Salah-Eddine,NED,DF,22,3,2,152,1.7,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.5,8,2,15,0.0,0.33,0.59,0.0,0.59,0.19,0.08,0.27,0.19,0.27,3,-0.3,Prospect,128,74,2
1190,Victor Nelsson,DEN,DF,25,4,1,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,4,0.0,Peak,1878,28,1
1191,Tammy Abraham,ENG,AT,26,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Peak,1780,32,1
1192,David de Gea,ESP,GB,33,35,35,3150,35.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,35,0.0,Experienced,461,34,0
1193,Dodô,BRA,DF,25,35,35,3115,34.6,0,5,5,0,0,0,8,0,1.4,1.4,4.2,5.6,143,128,193,0.0,0.14,0.14,0.0,0.14,0.04,0.12,0.16,0.04,0.16,35,-1.4,Peak,506,13,1
1194,Luca Ranieri,ITA,DF,25,36,35,3071,34.1,1,3,4,1,0,0,7,0,1.1,1.1,1.7,2.7,25,80,11,0.03,0.08,0.12,0.03,0.12,0.03,0.05,0.08,0.03,0.08,36,-0.10000000000000009,Peak,1132,54,1
1195,Moise Kean,ITA,AT,24,32,31,2704,30.0,19,3,22,18,1,2,6,0,19.4,17.9,1.9,19.7,42,26,143,0.59,0.09,0.73,0.6,0.7,0.65,0.06,0.71,0.59,0.66,32,-0.3999999999999986,Peak,1377,54,1
1196,Robin Gosens,GER,DF,30,32,29,2521,28.0,5,5,10,5,0,0,6,0,1.8,1.8,2.4,4.1,31,102,91,0.16,0.16,0.36,0.18,0.36,0.06,0.08,0.15,0.06,0.15,32,3.2,Experienced,1636,41,0
1197,Pietro Comuzzo,ITA,DF,19,33,24,2200,24.4,1,0,1,1,0,0,5,0,0.5,0.5,0.6,1.1,14,75,12,0.03,0.0,0.04,0.04,0.04,0.02,0.02,0.05,0.02,0.05,33,0.5,Prospect,1576,54,2
1198,Danilo Cataldi,ITA,MT,29,25,23,1728,19.2,3,0,3,3,0,0,1,0,1.1,1.1,0.8,1.9,18,90,16,0.12,0.0,0.16,0.16,0.16,0.06,0.04,0.1,0.06,0.1,25,1.9,Experienced,434,54,0
1199,Rolando Mandragora,ITA,MT,27,29,22,1931,21.5,4,3,7,3,1,1,7,0,2.7,1.9,4.8,6.6,11,92,34,0.14,0.1,0.33,0.14,0.28,0.12,0.22,0.35,0.09,0.31,29,1.2999999999999998,Peak,1646,54,1
1200,Yacine Adli,FRA,MT,24,26,15,1234,13.7,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,24,103,30,0.15,0.23,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25,26,3.0,Peak,1918,37,1
1201,Marin Pongračić,CRO,DF,26,20,14,1367,15.2,0,0,0,0,0,0,3,1,0.2,0.2,0.2,0.4,7,34,5,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,20,-0.2,Peak,1222,24,1
1202,Pablo Marí,ESP,DF,30,13,12,1098,12.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,27,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,13,-0.1,Experienced,1509,34,0
1203,Edoardo Bove,ITA,"MT,AT",22,12,11,851,9.5,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.08,0.17,0.32,0.11,0.32,0.06,0.16,0.22,0.06,0.22,12,0.4,Prospect,527,54,2
1204,Amir Richardson,MAR,MT,22,27,10,1099,12.2,1,1,2,1,0,0,6,0,0.9,0.9,0.6,1.5,19,47,31,0.04,0.04,0.16,0.08,0.16,0.07,0.05,0.12,0.07,0.12,27,0.09999999999999998,Prospect,125,65,2
1205,Nicolò Fagioli,ITA,MT,23,15,10,962,10.7,1,2,3,1,0,0,0,0,0.5,0.5,3.0,3.5,15,50,19,0.07,0.13,0.28,0.09,0.28,0.05,0.28,0.32,0.05,0.32,15,0.5,Prospect,1448,54,2
1206,Cristiano Biraghi,ITA,DF,31,8,5,433,4.8,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,3,15,17,0.12,0.0,0.21,0.21,0.21,0.03,0.06,0.1,0.03,0.1,8,0.8,Experienced,392,54,0
1207,Cher Ndour,ITA,"MT,DF",20,9,4,406,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,12,17,26,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,9,-0.1,Prospect,354,54,2
1208,Lucas Martínez Quarta,ARG,DF,28,8,4,351,3.9,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,14,2,0.12,0.0,0.26,0.26,0.26,0.19,0.01,0.19,0.19,0.19,8,0.30000000000000004,Peak,1137,3,1
1209,Nicolò Zaniolo,ITA,AT,25,9,4,343,3.8,0,0,0,0,0,0,2,1,0.7,0.6,0.2,0.9,8,5,20,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.22,0.15,0.21,9,-0.7,Peak,1450,54,1
1210,Pietro Terracciano,ITA,GB,34,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Veteran,1578,54,3
1211,Sofyan Amrabat,MAR,MT,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,2,0.0,Peak,1744,65,1
1212,Matias Moreno,ARG,DF,20,4,2,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,4,0.0,Prospect,1278,3,2
1213,Antonín Barák,CZE,MT,29,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.0,0.0,0.0,0.0,0.0,0.13,0.47,0.6,0.13,0.6,1,-0.1,Experienced,193,27,0
1214,Alessandro Bianco,ITA,MT,21,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,73,54,2
1215,Maat Daniel Caprini,ITA,AT,18,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1171,54,2
1216,Tommaso Rubino,ITA,MT,17,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.53,1,0.0,Prospect,1834,54,2
1217,Mattéo Guendouzi,FRA,MT,25,37,37,3270,36.3,1,3,4,1,0,0,7,0,1.4,1.4,3.2,4.6,89,316,64,0.03,0.08,0.11,0.03,0.11,0.04,0.09,0.13,0.04,0.13,37,-0.3999999999999999,Peak,1302,37,1
1218,Mattia Zaccagni,ITA,AT,29,34,33,2686,29.8,8,6,14,6,2,2,10,0,6.4,4.9,4.6,9.5,91,114,264,0.24,0.18,0.47,0.2,0.4,0.22,0.15,0.37,0.16,0.32,34,1.5999999999999996,Experienced,1300,54,0
1219,Mario Gila,ESP,DF,23,32,31,2741,30.5,1,0,1,1,0,0,8,0,1.1,1.1,0.6,1.7,48,157,12,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,32,-0.10000000000000009,Prospect,1224,34,2
1220,Nicolò Rovella,ITA,MT,22,33,31,2718,30.2,0,3,3,0,0,0,13,0,1.5,1.5,2.2,3.7,45,159,42,0.0,0.09,0.1,0.0,0.1,0.05,0.07,0.12,0.05,0.12,33,-1.5,Prospect,1449,54,2
1221,Alessio Romagnoli,ITA,DF,29,32,31,2672,29.7,2,0,2,2,0,0,4,2,2.4,2.4,0.3,2.6,8,90,4,0.06,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,32,-0.3999999999999999,Experienced,81,54,0
1222,Ivan Provedel,ITA,GB,30,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,29,0.0,Experienced,799,54,0
1223,Gustav Isaksen,DEN,AT,23,37,29,2210,24.6,4,2,6,4,0,0,5,0,5.2,5.2,2.1,7.3,95,46,249,0.11,0.05,0.24,0.16,0.24,0.21,0.09,0.3,0.21,0.3,37,-1.2000000000000002,Prospect,707,28,2
1224,Valentín Castellanos,ARG,AT,25,29,28,2384,26.5,10,3,13,8,2,3,9,1,13.4,11.3,3.6,14.9,27,66,149,0.34,0.1,0.49,0.3,0.42,0.51,0.14,0.64,0.43,0.56,29,-3.4000000000000004,Peak,1868,3,1
1225,Boulaye Dia,SEN,"MT,AT",27,35,27,2177,24.2,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114,0.26,0.09,0.5,0.37,0.5,0.29,0.17,0.47,0.29,0.47,35,1.9000000000000004,Peak,298,88,1
1226,Adam Marušić,MNE,DF,31,35,26,2337,26.0,4,0,4,4,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,0.11,0.0,0.15,0.15,0.15,0.08,0.02,0.1,0.08,0.1,35,2.0,Experienced,24,71,0
1227,Nuno Tavares,POR,DF,24,23,22,1686,18.7,0,8,8,0,0,0,4,1,1.1,1.1,4.8,5.9,98,111,100,0.0,0.35,0.43,0.0,0.43,0.06,0.26,0.32,0.06,0.32,23,-1.1,Peak,1472,83,1
1228,Manuel Lazzari,ITA,DF,30,25,16,1406,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.3,1.4,72,66,96,0.0,0.04,0.06,0.0,0.06,0.01,0.08,0.09,0.01,0.09,25,-0.1,Experienced,1195,54,0
1229,Fisayo Dele-Bashiru,NGA,"MT,AT",23,20,12,947,10.5,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,23,26,57,0.15,0.05,0.38,0.29,0.38,0.1,0.08,0.18,0.1,0.18,20,1.9,Prospect,615,75,2
1230,Luca Pellegrini,ITA,DF,25,22,10,1067,11.9,0,4,4,0,0,0,5,0,0.7,0.7,1.8,2.4,21,72,61,0.0,0.18,0.34,0.0,0.34,0.06,0.15,0.2,0.06,0.2,22,-0.7,Peak,1130,54,1
1231,Christos Mandas,GRE,GB,22,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,Prospect,372,44,2
1232,Matías Vecino,URU,MT,32,20,7,877,9.7,2,3,5,2,0,0,7,0,2.3,2.3,2.4,4.6,4,29,14,0.1,0.15,0.51,0.21,0.51,0.23,0.24,0.47,0.23,0.47,20,-0.2999999999999998,Experienced,1305,100,0
1233,Samuel Gigot,FRA,DF,30,15,7,683,7.6,2,0,2,2,0,0,2,0,1.3,1.3,0.0,1.3,7,12,5,0.13,0.0,0.26,0.26,0.26,0.17,0.0,0.17,0.17,0.17,15,0.7,Experienced,1680,37,0
1234,Patric,ESP,DF,31,10,5,607,6.7,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.1,4,30,5,0.1,0.0,0.15,0.15,0.15,0.16,0.0,0.16,0.16,0.16,10,-0.10000000000000009,Experienced,1519,34,0
1235,Elseid Hysaj,ALB,DF,30,11,4,424,4.7,0,3,3,0,0,0,2,1,0.2,0.2,1.6,1.8,4,14,18,0.0,0.27,0.64,0.0,0.64,0.04,0.35,0.38,0.04,0.38,11,-0.2,Experienced,540,0,0
1236,Nicolò Casale,ITA,DF,26,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,2,0.0,Peak,1447,54,1
1237,Reda Belahyane,MAR,MT,20,6,1,198,2.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,Prospect,1612,65,2
1238,Gaetano Castrovilli,ITA,"MT,AT",27,9,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,5,10,6,0.0,0.0,0.0,0.0,0.0,0.05,0.44,0.49,0.05,0.49,9,-0.1,Peak,658,54,1
1239,Oliver Nielsen,DEN,DF,21,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Prospect,1485,28,2
1240,Arijon Ibrahimović,GER,MT,18,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.85,0.85,1,-0.1,Prospect,199,41,2
1241,Mike Maignan,FRA,GB,29,37,37,3294,36.6,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,37,0.0,Experienced,1349,37,0
1242,Tijjani Reijnders,NED,MT,26,37,36,3128,34.8,10,4,14,10,0,0,2,1,7.5,7.5,3.5,11.0,111,230,121,0.27,0.11,0.4,0.29,0.4,0.22,0.1,0.32,0.22,0.32,37,2.5,Peak,1811,74,1
1243,Theo Hernández,FRA,DF,26,33,30,2696,30.0,4,3,7,4,0,1,4,1,2.7,1.9,4.7,6.6,93,132,148,0.12,0.09,0.23,0.13,0.23,0.09,0.16,0.25,0.06,0.22,33,1.2999999999999998,Peak,1790,37,1
1244,Youssouf Fofana,FRA,MT,25,35,29,2504,27.8,1,6,7,1,0,0,5,0,1.3,1.3,3.4,4.7,44,176,32,0.03,0.17,0.25,0.04,0.25,0.05,0.12,0.17,0.05,0.17,35,-0.30000000000000004,Peak,1951,37,1
1245,Rafael Leão,POR,AT,25,34,25,2323,25.8,8,8,16,8,0,0,5,0,7.6,7.6,8.4,15.9,123,93,262,0.24,0.24,0.62,0.31,0.62,0.29,0.32,0.62,0.29,0.62,34,0.40000000000000036,Peak,1590,83,1
1246,Matteo Gabbia,ITA,DF,24,26,24,2152,23.9,2,0,2,2,0,0,4,0,1.1,1.1,0.2,1.3,13,74,2,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.05,0.05,0.05,26,0.8999999999999999,Peak,1285,54,1
1247,Strahinja Pavlović,SRB,DF,23,24,21,1864,20.7,2,1,3,2,0,0,3,1,1.8,1.8,1.1,2.9,40,94,10,0.08,0.04,0.14,0.1,0.14,0.09,0.05,0.14,0.09,0.14,24,0.19999999999999996,Prospect,1766,90,2
1248,Malick Thiaw,GER,DF,22,22,19,1806,20.1,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,12,89,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,22,-0.6,Prospect,1185,41,2
1249,Fikayo Tomori,ENG,DF,26,22,19,1593,17.7,0,1,1,0,0,0,4,1,0.1,0.1,0.7,0.8,8,63,3,0.0,0.05,0.06,0.0,0.06,0.0,0.04,0.05,0.0,0.05,22,-0.1,Peak,607,32,1
1250,Yunus Musah,USA,"MT,AT",21,29,19,1571,17.5,0,2,2,0,0,0,5,0,1.9,1.9,1.8,3.8,51,84,74,0.0,0.07,0.11,0.0,0.11,0.11,0.1,0.22,0.11,0.22,29,-1.9,Prospect,1955,101,2
1251,Emerson,BRA,DF,25,17,16,1377,15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1,23,68,71,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,17,-0.4,Peak,546,13,1
1252,Tammy Abraham,ENG,AT,26,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.11,0.14,0.53,0.15,0.46,0.54,0.16,0.7,0.41,0.58,28,-4.1,Peak,1780,32,1
1253,Ruben Loftus-Cheek,ENG,MT,28,19,10,1037,11.5,0,0,0,0,0,0,3,0,0.7,0.7,1.9,2.6,27,51,32,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,19,-0.7,Peak,1657,32,1
1254,João Félix,POR,MT,24,15,8,760,8.4,2,0,2,2,0,0,3,0,2.7,2.7,1.2,3.8,20,40,56,0.13,0.0,0.24,0.24,0.24,0.32,0.14,0.46,0.32,0.46,15,-0.7000000000000002,Peak,957,83,1
1255,Santiago Giménez,MEX,AT,23,14,7,669,7.4,5,2,7,5,0,1,3,1,4.8,4.0,0.9,4.9,13,6,38,0.36,0.14,0.94,0.67,0.94,0.64,0.13,0.77,0.54,0.66,14,0.20000000000000018,Prospect,1690,67,2
1256,Kyle Walker,ENG,DF,34,11,7,659,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.9,1.0,11,32,19,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.13,0.01,0.13,11,0.0,Veteran,1066,32,3
1257,Noah Okafor,SUI,AT,24,11,5,414,4.6,1,0,1,1,0,0,0,0,1.5,1.5,0.3,1.9,21,12,48,0.09,0.0,0.22,0.22,0.22,0.33,0.07,0.41,0.33,0.41,11,-0.5,Peak,1464,91,1
1258,Davide Calabria,ITA,DF,27,7,4,316,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,24,31,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.14,0.08,0.14,7,-0.3,Peak,463,54,1
1259,Ismaël Bennacer,ALG,MT,26,6,4,300,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,8,23,12,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.07,0.02,0.07,6,-0.1,Peak,788,1,1
1260,Warren Bondo,FRA,MT,20,4,3,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,4,0.0,Prospect,1893,37,2
1261,Marco Sportiello,ITA,GB,32,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Experienced,1214,54,0
1262,Davide Bartesaghi,ITA,DF,18,4,1,118,1.3,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,2,2,17,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,4,0.0,Prospect,462,54,2
1263,Mattia Liberali,ITA,MT,17,1,1,61,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,4,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.14,0.1,0.14,1,-0.1,Prospect,1297,54,2
