unnamed:_0,player,nation,position,age,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non_penalty_goals,penalty_goals_made,penalty_attempts,yellow_cards,red_cards,xg,npxg,xag,npxg_+_xag,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_+_assists_per_90,non_penalty_goals_per_90,non_penalty_goals_+_assists_per_90,xg_per_90,xag_per_90,xg_+_xag_per_90,npxg_per_90,npxg_+_xag_per_90,90s,xg_overperformance,age_band,player_encoded,nation_encoded,age_band_encoded
196,Andreas Pereira,BRA,MT,28,33,25,2013,22.4,2,4,6,2,0,1,7,0,3.8,3.0,4.6,7.6,29,104,81,0.06,0.12,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34,33,-1.7999999999999998,Peak,142,13,1
197,Kenny Tete,NED,DF,28,22,21,1774,19.7,0,2,2,0,0,0,5,0,1.4,1.4,0.9,2.3,34,63,54,0.0,0.09,0.1,0.0,0.1,0.07,0.05,0.12,0.07,0.12,22,-1.4,Peak,1023,74,1
198,Timothy Castagne,BEL,DF,28,24,17,1649,18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0.0,0.04,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,24,-0.4,Peak,1821,9,1
199,Issa Diop,FRA,DF,27,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,21,-0.5,Peak,791,37,1
200,Rodrigo Muniz,BRA,AT,23,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.26,0.03,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,31,2.2,Prospect,1644,13,2
201,Reiss Nelson,ENG,AT,24,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.09,0.09,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,11,-0.10000000000000009,Peak,1614,32,1
202,Jorge Cuenca,ESP,DF,24,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,8,0.0,Peak,943,34,1
203,Tom Cairney,SCO,MT,33,25,3,628,7.0,2,0,2,2,0,0,3,1,0.8,0.8,1.1,1.8,18,53,33,0.08,0.0,0.29,0.29,0.29,0.11,0.15,0.26,0.11,0.26,25,1.2,Experienced,1827,87,0
204,Joshua King,ENG,MT,17,8,1,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,9,16,0.0,0.0,0.0,0.0,0.0,0.22,0.3,0.51,0.22,0.51,8,-0.3,Prospect,950,32,2
205,Harrison Reed,ENG,MT,29,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,12,-0.2,Experienced,722,32,0
206,Carlos Vinícius,BRA,"MT,AT",29,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,3,0.0,Experienced,336,13,0
207,Jay Stansfield,ENG,MT,21,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Prospect,861,32,2
208,Dean Henderson,ENG,GB,27,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,Peak,466,32,1
209,Daniel Muñoz,COL,DF,28,37,37,3228,35.9,4,5,9,4,0,0,10,0,4.9,4.9,5.5,10.5,62,97,208,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29,37,-0.9000000000000004,Peak,422,20,1
210,Tyrick Mitchell,ENG,DF,24,37,37,3092,34.4,0,5,5,0,0,0,2,0,1.3,1.3,6.4,7.7,62,70,171,0.0,0.14,0.15,0.0,0.15,0.04,0.19,0.22,0.04,0.22,37,-1.3,Peak,1849,32,1
211,Maxence Lacroix,FRA,DF,24,35,35,3116,34.6,1,1,2,1,0,0,5,0,3.4,3.4,1.0,4.4,8,65,7,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13,35,-2.4,Peak,1314,37,1
212,Marc Guéhi,ENG,DF,24,34,34,3059,34.0,3,2,5,3,0,0,9,1,2.0,2.0,1.7,3.7,22,134,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,34,1.0,Peak,1201,32,1
213,Jean-Philippe Mateta,FRA,AT,27,37,33,2648,29.4,14,2,16,12,2,2,2,0,13.6,12.0,3.2,15.2,45,53,122,0.38,0.05,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.52,37,0.40000000000000036,Peak,872,37,1
214,Eberechi Eze,ENG,"MT,AT",26,34,31,2588,28.8,8,8,16,7,1,2,1,0,10.4,8.9,6.2,15.1,68,97,153,0.24,0.24,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.52,34,-2.4000000000000004,Peak,522,32,1
215,Ismaila Sarr,SEN,MT,26,38,30,2711,30.1,8,6,14,8,0,0,4,0,10.8,10.8,8.5,19.3,76,86,183,0.21,0.16,0.46,0.27,0.46,0.36,0.28,0.64,0.36,0.64,38,-2.8000000000000007,Peak,786,88,1
